feature,type,top_trial_appearances,appearance_rate
opposite_percent,batter,20,0.22988505747126436
wobadiff,batter,18,0.20689655172413793
wobacon,batter,17,0.19540229885057472
poorlyweak_percent,batter,17,0.19540229885057472
popups_percent,batter,16,0.1839080459770115
hard_hit_percent,batter,16,0.1839080459770115
solidcontact_percent,batter,15,0.1724137931034483
meatball_swing_percent,batter,15,0.1724137931034483
xbadiff,batter,14,0.16091954022988506
hp_to_1b,batter,14,0.16091954022988506
xbacon,batter,14,0.16091954022988506
avg_best_speed,batter,14,0.16091954022988506
oz_swing_miss_percent,pitcher,14,0.16091954022988506
xslgdiff,batter,13,0.14942528735632185
z_swing_miss_percent,batter,13,0.14942528735632185
whiff_percent,batter,13,0.14942528735632185
meatball_percent,batter,13,0.14942528735632185
launch_angle_avg,batter,13,0.14942528735632185
linedrives_percent,pitcher,13,0.14942528735632185
oz_contact_percent,batter,12,0.13793103448275862
pull_percent,batter,12,0.13793103448275862
k_percent,pitcher,12,0.13793103448275862
edge_percent,pitcher,12,0.13793103448275862
xwobacon,pitcher,12,0.13793103448275862
xslg,pitcher,12,0.13793103448275862
sweet_spot_percent,batter,12,0.13793103448275862
straightaway_percent,batter,12,0.13793103448275862
flareburner_percent,batter,11,0.12643678160919541
arm_angle,pitcher,11,0.12643678160919541
flyballs_percent,batter,11,0.12643678160919541
oz_swing_percent,batter,11,0.12643678160919541
oz_swing_miss_percent,batter,11,0.12643678160919541
groundballs_percent,batter,11,0.12643678160919541
edge_percent,batter,11,0.12643678160919541
wobadiff,pitcher,11,0.12643678160919541
sweet_spot_percent,pitcher,11,0.12643678160919541
xslgdiff,pitcher,11,0.12643678160919541
solidcontact_percent,pitcher,11,0.12643678160919541
z_swing_percent,batter,10,0.11494252873563218
bacon,batter,10,0.11494252873563218
launch_angle_avg,pitcher,10,0.11494252873563218
poorlyunder_percent,batter,10,0.11494252873563218
xobp,batter,10,0.11494252873563218
f_strike_percent,batter,10,0.11494252873563218
oz_swing_percent,pitcher,10,0.11494252873563218
wobacon,pitcher,10,0.11494252873563218
xobp,pitcher,10,0.11494252873563218
exit_velocity_avg,pitcher,10,0.11494252873563218
ff_avg_spin,pitcher,10,0.11494252873563218
xslg,batter,9,0.10344827586206896
iz_contact_percent,batter,9,0.10344827586206896
avg_hyper_speed,batter,9,0.10344827586206896
meatball_percent,pitcher,9,0.10344827586206896
oz_contact_percent,pitcher,9,0.10344827586206896
iz_contact_percent,pitcher,9,0.10344827586206896
xera,pitcher,9,0.10344827586206896
sprint_speed,batter,9,0.10344827586206896
xwoba,pitcher,9,0.10344827586206896
xwobacon,batter,8,0.09195402298850575
xwoba,batter,8,0.09195402298850575
swing_percent,batter,8,0.09195402298850575
popups_percent,pitcher,8,0.09195402298850575
avg_best_speed,pitcher,8,0.09195402298850575
exit_velocity_avg,batter,8,0.09195402298850575
linedrives_percent,batter,7,0.08045977011494253
xba,batter,7,0.08045977011494253
ff_avg_speed,pitcher,7,0.08045977011494253
k_percent,batter,6,0.06896551724137931
ff_avg_break_z,pitcher,6,0.06896551724137931
flyballs_percent,pitcher,6,0.06896551724137931
barrel_batted_rate,pitcher,6,0.06896551724137931
xiso,pitcher,6,0.06896551724137931
ff_avg_break_x,pitcher,6,0.06896551724137931
xbadiff,pitcher,6,0.06896551724137931
z_swing_percent,pitcher,6,0.06896551724137931
bb_percent,pitcher,6,0.06896551724137931
groundballs_percent,pitcher,6,0.06896551724137931
xba,pitcher,5,0.05747126436781609
poorlytopped_percent,batter,5,0.05747126436781609
bb_percent,batter,5,0.05747126436781609
cu_avg_spin,pitcher,4,0.04597701149425287
swing_percent,pitcher,4,0.04597701149425287
whiff_percent,pitcher,4,0.04597701149425287
z_swing_miss_percent,pitcher,4,0.04597701149425287
hard_hit_percent,pitcher,3,0.034482758620689655
xiso,batter,3,0.034482758620689655
ch_avg_speed,pitcher,3,0.034482758620689655
f_strike_percent,pitcher,3,0.034482758620689655
barrel_batted_rate,batter,2,0.022988505747126436
cu_avg_speed,pitcher,2,0.022988505747126436
avg_hyper_speed,pitcher,2,0.022988505747126436
ch_avg_spin,pitcher,2,0.022988505747126436
